"code","outstanding"
"002458","748868288.0"
"002459","3305420032.0"
"002460","1208721792.0"
"002461","2213328384.0"
"002462","291470432.0"
"002463","1917352448.0"
"002465","2431731456.0"
"002466","1476286976.0"
"002467","1363596672.0"
"002468","1492045696.0"
"002469","628894912.0"
"002470","3285749504.0"
"002471","1304996736.0"
"002472","752567424.0"
"002474","530546560.0"
"002475","7234251264.0"
"002476","611929920.0"
"002478","719589952.0"
"002479","863072832.0"
"002480","767716480.0"
"002481","1118152576.0"
"002482","3743709696.0"
"002483","885250816.0"
"002484","820472256.0"
"002485","544000000.0"
"002486","827248320.0"
"002487","630920256.0"
"002488","920083968.0"
"002489","1913028864.0"
"002490","541613632.0"
"002491","1176468864.0"
"002492","397834720.0"
"002493","9498280960.0"
"002494","286770432.0"
"002495","681224960.0"
"002496","1181386496.0"
"002497","1058551360.0"
"002498","3326796032.0"
"002500","3589771520.0"
"002501","3549999104.0"
"002506","5844437504.0"
"002507","1148914560.0"
"002508","933395008.0"
"002510","1004846976.0"
"002511","1265265920.0"
"002512","1033122688.0"
"002513","263856176.0"
"002514","554034240.0"
"002515","1160972672.0"
"002516","1454243712.0"
"002517","1890833664.0"
"002518","565197888.0"
"002519","1117885568.0"
"002520","717440192.0"
"002521","402829792.0"
"002522","905019904.0"
"002523","1411542656.0"
"002524","508299424.0"
"002526","1771084416.0"
"002527","529072832.0"
"002528","1049740608.0"
"002529","260000000.0"
"002530","695123328.0"
"002531","1786866176.0"
"002532","4130005504.0"
"002533","637645440.0"
"002534","730818496.0"
"002535","746338496.0"
"002536","536530976.0"
"002537","1174016768.0"
"002538","853550208.0"
"002539","883140032.0"
"002540","869241792.0"
"002541","496174272.0"
"002542","1548989312.0"
"002543","661611008.0"
"002544","678704640.0"
"002545","1130163712.0"
"002546","801232128.0"
"002547","1104807168.0"
"002548","804471488.0"
"002549","692359552.0"
"002550","957739584.0"
"002551","611017088.0"
"002552","320233792.0"
"002553","250800000.0"
"002554","1333470848.0"
"002555","1598967296.0"
"002556","935089344.0"
"002557","504773376.0"
"002558","1934750592.0"
"002559","500511360.0"
"002560","452936000.0"
"002561","414439552.0"
"002562","701528768.0"
"002563","2201694464.0"
"002564","858904448.0"
"002565","1059955200.0"
"002566","231790464.0"
"002567","1431514368.0"
"002568","717983744.0"
"002569","139956432.0"
"002570","1079995392.0"
"002571","298306176.0"
"002572","651462144.0"
"002573","1412994688.0"
"002574","528000000.0"
"002575","591118976.0"
"002576","162027568.0"
"002577","282864992.0"
"002578","861162560.0"
"002579","581524352.0"
"002580","452338816.0"
"002581","400791168.0"
"002582","344069024.0"
"002583","1282681088.0"
"002584","432494048.0"
"002585","892862848.0"
"002586","896920768.0"
"002587","515222976.0"
"002588","858597568.0"
"002589","1365591552.0"
"002590","494956864.0"
"002591","223512464.0"
"002592","262716368.0"
"002593","570441792.0"
"002594","1162413952.0"
"002595","794285568.0"
"002596","1146464896.0"
"002597","566964992.0"
"002598","282080768.0"
"002599","402913664.0"
"002600","6899683840.0"
"002601","1987815808.0"
"002602","6878708224.0"
"002603","1376849024.0"
"002605","333417056.0"
"002606","421142048.0"
"002607","5028744192.0"
"002608","3778079744.0"
"002609","459405600.0"
"002611","1002197696.0"
"002612","254739232.0"
"002613","608921920.0"
"002614","441013920.0"
"002615","306048192.0"
"002616","470287648.0"
"002617","1891453824.0"
"002620","315377344.0"
"002622","839975232.0"
"002623","198636128.0"
"002624","1827732992.0"
"002625","1777214464.0"
"002626","609844800.0"
"002627","717163968.0"
"002628","754054336.0"
"002629","355950432.0"
"002630","1063629824.0"
"002631","793572352.0"
"002632","580800000.0"
"002633","149418752.0"
"002634","446514528.0"
"002635","395397056.0"
"002636","724315392.0"
"002637","442723136.0"
"002638","1347057280.0"
"002639","650581824.0"
"002640","1397175040.0"
"002641","1133994624.0"
"002642","661580288.0"
"002643","909325568.0"
"002644","510656992.0"
"002645","512854944.0"
"002646","475929632.0"
"002647","677736000.0"
"002648","3366482432.0"
"002649","548644352.0"
"002650","1151962752.0"
"002651","565463616.0"
"002652","512064000.0"
"002653","535827072.0"
"002654","845242560.0"
"002655","359901088.0"
"002656","609457536.0"
"002657","336356256.0"
"002658","358657760.0"
"002659","598276608.0"
"002660","257084944.0"
"002661","314765632.0"
"002662","1499981056.0"
"002663","1396448128.0"
"002664","402165760.0"
"002666","500668192.0"
"002667","235666000.0"
"002668","1084111488.0"
"002669","301898336.0"
"002670","1623350656.0"
"002671","549580992.0"
"002672","905118272.0"
"002673","4109194496.0"
"002674","291578880.0"
"002675","743384000.0"
"002676","719968640.0"
"002677","529324352.0"
"002678","1357574400.0"
"002679","235756000.0"
"002681","1543434368.0"
"002682","562357376.0"
"002683","651179392.0"
"002685","1007512320.0"
"002686","522732608.0"
"002687","412829856.0"
"002688","745063872.0"
"002689","1042911552.0"
"002690","433776576.0"
"002691","335980320.0"
"002692","717864960.0"
"002693","411232096.0"
"002694","552909504.0"
"002695","466233696.0"
"002696","335474944.0"
"002697","1074439552.0"
"002698","841438080.0"
"002700","334735680.0"
"002701","2557405696.0"
"002702","458743744.0"
"002703","586048064.0"
"002705","808161408.0"
"002706","914690304.0"
"002707","825207232.0"
"002708","513995136.0"
"002709","1384904448.0"
